image,x,y
tile_1088_64,1088,64
tile_1152_128,1152,128
tile_960_192,960,192
tile_512_256,512,256
tile_640_256,640,256
tile_896_256,896,256
tile_960_256,960,256
tile_512_320,512,320
tile_576_320,576,320
tile_640_320,640,320
tile_704_320,704,320
tile_896_320,896,320
tile_512_384,512,384
tile_576_384,576,384
tile_832_384,832,384
tile_192_448,192,448
tile_448_448,448,448
tile_512_448,512,448
tile_320_512,320,512
tile_384_512,384,512
tile_448_512,448,512
tile_512_512,512,512
tile_576_512,576,512
tile_320_576,320,576
tile_384_576,384,576
tile_448_576,448,576
tile_512_576,512,576
tile_704_576,704,576
tile_832_576,832,576
tile_1024_576,1024,576
tile_128_640,128,640
tile_320_640,320,640
tile_384_640,384,640
tile_448_640,448,640
tile_512_640,512,640
tile_576_640,576,640
tile_640_640,640,640
tile_1024_640,1024,640
tile_320_704,320,704
tile_384_704,384,704
tile_640_704,640,704
tile_704_704,704,704
tile_768_704,768,704
tile_896_704,896,704
tile_1344_704,1344,704
tile_0_768,0,768
tile_512_768,512,768
tile_576_768,576,768
tile_704_768,704,768
tile_832_768,832,768
tile_960_768,960,768
tile_1088_768,1088,768
tile_576_832,576,832
tile_640_832,640,832
tile_832_832,832,832
tile_896_832,896,832
tile_1088_832,1088,832
tile_1216_832,1216,832
tile_256_896,256,896
tile_576_896,576,896
tile_640_896,640,896
tile_704_896,704,896
tile_768_896,768,896
tile_832_896,832,896
tile_1152_896,1152,896
tile_1216_1024,1216,1024
tile_1280_1088,1280,1088
